date,chinese_yuan_to_usd,euro_to_usd,japanese_yen_to_usd,uk_pound_to_usd,us_dollar_to_usd,algerian_dinar_to_usd,australian_dollar_to_usd,bahrain_dinar_to_usd,botswana_pula_to_usd,brazilian_real_to_usd,brunei_dollar_to_usd,canadian_dollar_to_usd,chilean_peso_to_usd,colombian_peso_to_usd,czech_koruna_to_usd,danish_krone_to_usd,hungarian_forint_to_usd,icelandic_krona_to_usd,indian_rupee_to_usd,indonesian_rupiah_to_usd,iranian_rial_to_usd,israeli_new_shekel_to_usd,kazakhstani_tenge_to_usd,korean_won_to_usd,kuwaiti_dinar_to_usd,libyan_dinar_to_usd,malaysian_ringgit_to_usd,mauritian_rupee_to_usd,mexican_peso_to_usd,nepalese_rupee_to_usd,new_zealand_dollar_to_usd,norwegian_krone_to_usd,omani_rial_to_usd,pakistani_rupee_to_usd,peruvian_sol_to_usd,philippine_peso_to_usd,polish_zloty_to_usd,qatari_riyal_to_usd,russian_ruble_to_usd,saudi_arabian_riyal_to_usd,singapore_dollar_to_usd,south_african_rand_to_usd,sri_lankan_rupee_to_usd,swedish_krona_to_usd,swiss_franc_to_usd,thai_baht_to_usd,trinidadian_dollar_to_usd,tunisian_dinar_to_usd,uae_dirham_to_usd,uruguayan_peso_to_usd,bolivar_fuerte_to_usd
2016-07-29,0.1503036132988637,1.1113,0.0096153846153846,1.3177,1.0,0.0090553052769791,0.7522000000000001,2.6595744680851063,0.0943,0.3054927598215922,0.7421150278293136,0.7668123610152595,0.0015038950882786,0.0003234382782733,0.041111659266568,0.1494209936496077,0.0035527764948307,0.0083773142330568,0.014917802905988,7.63708568810142e-05,,0.2612330198537095,0.0028388928317956,0.0008883361463977,3.3085194375516958,0.517491202649555,0.2467003823855927,0.0282128035345,0.0532376475348307,0.0093214019388516,0.7109,0.1168661181750186,2.600780234070221,0.009537461719013,,0.0212381862588934,0.2540392236561325,0.2747252747252747,0.0149139761853628,0.2666666666666666,0.7421150278293136,0.0706671330697449,0.0068612235208231,0.1160456291413783,1.0260619741432382,0.028673835125448,0.1492270041186653,0.4492564805247315,0.2722940776038121,,0.100250626566416
2016-08-01,0.15065005498727,1.1164,0.0097618117922686,1.3181,1.0,0.0090970785641898,,2.6595744680851063,0.0945,0.308794466403162,0.7467144563918757,,0.0015221858588933,0.0003244909548146,0.0413018338014207,0.1500757882730779,0.0035788418867654,,0.0149832487279221,7.64525993883792e-05,3.230078490907329e-05,0.2627430373095113,0.0028401022436807,0.0008909479686386,3.3161996352180405,0.517491202649555,0.2479851208927464,0.0282703893115312,0.0530492721639859,0.0093257483913084,0.7212,0.1181935300861631,2.600780234070221,0.0095377710038408,0.2994011976047904,0.0212359311955829,0.2561475409836065,0.2747252747252747,0.0151617838141893,0.2666666666666666,0.7467144563918757,0.0706671330697449,0.006861063464837,0.1168825097012483,1.0320982557539478,0.0287686996547756,,0.4496564624626785,0.2722940776038121,0.033725675356649,0.100250626566416
2016-08-02,0.1505706628120577,1.1193,0.009760858955588,1.3236,1.0,0.0091136684064659,0.7547,2.6595744680851063,0.0946,0.3062224399804018,0.7447125409591897,0.7640003056001222,0.0015209819459443,0.0003235952729202,0.0414130119683604,0.1504641820014745,0.0035933738186783,0.0084381064889038,0.0149787601181524,7.645844483523205e-05,3.230078490907329e-05,0.2621231979030144,0.0028272547356516,0.0009000900090009,3.315100281783524,0.517491202649555,0.246791707798618,0.0282515404152411,0.052919572833208,0.0093641726753441,0.7176,0.1186169266354308,2.600780234070221,0.0095380257240553,0.2991325157044571,0.0212969864764135,0.2575991756826378,0.2747252747252747,0.014951795411593,0.2666666666666666,0.7447125409591897,0.0719561643047055,0.006861063464837,0.1167855933292069,1.0351966873706004,0.0287455444406117,0.1492670985461384,0.4519712727059068,0.2722940776038121,0.0338960070503694,0.100250626566416
2016-08-03,0.1508523155830442,1.12,0.0098765432098765,1.3346,1.0,0.0090990982793605,0.7589000000000001,2.6595744680851063,0.0945,0.3078438615933998,0.7462129691814043,0.764525993883792,0.0015272771702608,0.000324169073622,0.0414198732551878,0.1505638616619239,0.0035989347153242,0.00844451950684,0.0149394652866584,7.625438462711606e-05,3.2301828283480846e-05,0.2616431187859759,0.0028247789610462,0.0009017945711966,3.318951211417192,0.517491202649555,0.2463964518910927,0.028307521591562,0.0528773193314191,0.009367681498829,0.7202,0.1188509490248279,2.600780234070221,0.0095446896687324,0.2985965959988056,0.0212648322204737,0.2596323605774224,0.2747252747252747,0.0149830691318809,0.2666666666666666,0.7462129691814043,,0.0068612988438711,0.1173888034559263,1.0327377878756585,0.0287174774567801,0.1491847055839835,0.4528964995629549,0.2722940776038121,0.0338043404773172,0.100250626566416
2016-08-04,0.1506409773586611,1.1136,0.0098667982239763,1.3285,1.0,0.0090930335542031,0.7607,2.6595744680851063,0.0950999999999999,0.3055581018730712,0.7452675510508272,0.7677543186180422,0.0015215836642777,0.0003214989567358,0.0411980389733448,0.1497118047758065,0.003579994988007,0.0083277814790139,0.0149377023125056,7.611508601004719e-05,3.226847370119393e-05,0.2613695765812859,0.0028404249275691,0.0008976660682226,3.3161996352180405,0.517491202649555,0.2470660901791229,0.0283019134923712,0.053018895934511,0.0093353248693054,0.718,0.1183193913650508,2.600780234070221,0.0095738305087342,0.2999400119976004,0.0212625714953966,0.2591479216336685,0.2747252747252747,0.0150615792668324,0.2666666666666666,0.7452675510508272,0.0727135232610561,0.0068611999827097,0.1169002723776346,1.0269049086054631,0.028616397195593,0.1490957343710396,0.4532701172609794,0.2722940776038121,0.0339847068819031,0.100250626566416
2016-08-05,0.1505321310833797,1.1156,0.0098765432098765,1.3159,1.0,0.0090946544349627,0.7659999999999999,2.6595744680851063,0.0949999999999999,0.3107809926344905,0.7452675510508272,0.7587253414264036,0.0015212364609954,0.0003246932460557,0.0412898963623601,0.1500015000150001,0.0035808923583757,0.0083626024418799,0.0149669006991039,7.619047619047618e-05,,0.2617115938236063,0.0028655758374645,0.0008978272580355,3.3161996352180405,0.517491202649555,0.2476473501733531,0.0283535115824094,0.0529966983056955,0.0093344534677494,0.7185,0.1186535198566665,2.600780234070221,0.0095545478692402,0.2999400119976004,0.0212702599225762,0.2594572155051632,0.2747252747252747,0.015252575015977,0.2666666666666666,0.7452675510508272,0.0728377211990545,0.0068673441988453,0.1173061808626696,1.026272577996716,0.0286952279835863,0.1495394185907405,0.4518548642176133,0.2722940776038121,0.0342959050689347,0.100250626566416
2016-08-08,0.1501298623309162,1.1087,0.009794319294809,1.3066,1.0,0.0090684934239819,0.761,2.6595744680851063,0.0954,0.3139421718519449,0.7419498441905327,0.7596475235490732,0.0015221163505738,0.0003275681341719,0.0410172272354388,0.1490823978412868,0.0035658251319355,0.0083236224404861,0.0149833609776343,7.608034083992696e-05,3.223830555466005e-05,0.2611647949856359,0.0028706760442084,0.0008998470260055,3.3123550844650547,0.517491202649555,0.247341083353945,0.0283193058371753,0.0538456568093217,0.0093597903406963,0.7106,0.1178647619721132,2.600780234070221,0.0095485265668654,0.3017501508750754,0.0212951723844204,0.2583578773316798,0.2747252747252747,0.0153657273597531,0.2666666666666666,0.7419498441905327,0.0733092146017293,0.0068681318681318,0.1165813679657717,1.0183299389002036,0.028606573790657,0.1492203238081026,0.452075478521894,0.2722940776038121,0.0344127464812966,0.100250626566416
2016-08-09,0.1501005673801446,1.1078,0.0097703957010258,1.2984,1.0,0.0090753160478813,0.7631,2.6595744680851063,0.0957,0.3148118998898158,,0.762369444232675,0.0015272071962003,0.0003341687552213,0.0409970482125287,0.1489646953671979,0.003573215179018,0.0083668005354752,0.0149335531552357,7.614406457016675e-05,3.22102686336404e-05,0.2617801047120419,0.0028910925438723,0.0008987148377819,3.3112582781456954,0.517491202649555,0.2479851208927464,0.0282876629015787,0.0543945344371797,0.0093562874251497,0.7143,0.1183922334694844,2.600780234070221,0.0095495113515041,0.3028467595396729,0.0213296930657167,0.2598617535471129,0.2747252747252747,0.0154357194897568,0.2666666666666666,,,0.0068681318681318,0.1164808796636032,1.017293997965412,0.028604118993135,0.1490446239604137,0.4506839128377312,0.2722940776038121,0.0345506685554365,0.100250626566416
2016-08-10,0.150430230459113,1.1184,0.0098522167487684,1.3068,1.0,0.0091163353790389,0.7695,2.6595744680851063,0.0971,0.3174905546559989,0.7458233890214797,0.7656967840735068,0.0015312528710991,0.0003362124324633,0.0413736036408771,0.1503555909726503,0.0035914380117799,0.008424599831508,0.0149825752649668,7.620208793720948e-05,3.2211306168465133e-05,0.2623983206507478,0.0028866693608914,0.0009031791907514,3.315100281783524,0.517491202649555,0.2502189415738771,0.0282983895386513,0.0545021501098218,0.0093423019431988,0.7205,0.120815261383818,2.600780234070221,0.0095572873360208,0.302571860816944,0.0213269636801808,0.261437908496732,0.2747252747252747,0.0154288368045644,0.2666666666666666,0.7458233890214797,0.0754822371425444,0.0068681318681318,0.1174618836187657,1.023122570083896,0.028747197148278,0.1488848524551112,0.4508993186911295,0.2722940776038121,0.0347548048517707,0.100250626566416
2016-08-11,0.1505661286437003,1.1153,,1.298,1.0,0.009109857594706,0.7700999999999999,2.6595744680851063,0.0965999999999999,0.3195296523517382,0.744213738185607,0.7688167909587146,0.0015401438494355,0.0003384209279501,0.0412813738441215,0.149934029027228,0.0035915670006823,0.0084125515268781,0.0149572745452614,7.626019980172348e-05,3.221234377013272e-05,0.2623983206507478,0.0028803502505904,0.0009123255177447,3.315100281783524,0.517491202649555,0.2487871625824107,0.0283059190507326,0.0547411292000131,0.0093668040464593,0.728,0.1208430007733952,2.600780234070221,0.0095611343712263,0.3023888720895071,0.0213780276631677,0.2611170587774499,0.2747252747252747,0.0153965299300843,0.2666666666666666,0.744213738185607,0.0748626270793094,0.0068681318681318,0.1182158858507406,1.0257462303826033,0.0287397614599798,0.1487630353609735,0.4538358203536288,0.2722940776038121,0.0348589953637536,0.100250626566416
